MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:b1:5e:bd,Dirahazaka,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,1,-43,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
1c:af:f7:7d:fd:6d,Harelus,[WEP][ESS],2017-10-31 18:39:17,6,-75,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
14:ae:db:c0:84:7d,305530768,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,1,-81,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
a0:21:b7:79:a0:12,daniel,[WPS][WEP][ESS],2017-10-31 18:39:17,11,-85,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
00:78:9e:f9:e0:bb,dira,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 18:39:17,11,-90,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
02:1a:11:fc:47:67,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,6,-91,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
42507_7213_5475842,HOT mobile,UNKNOWN;il,2017-10-31 18:39:17,0,-113,32.1001264,35.2022994,709.200012207031,20.5170001983643,GSM
62:ee:0c:3f:b7:6d,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,11,-90,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
48:ee:0c:3f:b7:6c,tikva,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,11,-91,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
14:ae:db:b1:5e:bd,Dirahazaka,[WPA2-PSK-CCMP][ESS],2017-10-31 18:39:17,1,-35,32.1001264,35.2022994,709.200012207031,20.5170001983643,WIFI
WigleWifi-1.4,appRelease=2.25,model=LG-H960,release=5.1.1,device=pplus,display=LMY47V,board=msm8992,brand=lge,AltitudeMeters,AccuracyMeters,Type
